L	M	σ	seed	order	n	η0	α	ApK	h0	γ	NpL	p	trust	tolerance	K	A	a0	N	fp	nfev
20	20000	0.01	0	1	1	1.0	0.602	0.1	0.2	0.101	0.5	0.5	1.0	0.02	10000	1000.0	64.01198792503472	10	1.0404262973066964	29917
20	20000	0.01	0	2	1	1.0	0.602	0.1	0.2	0.101	0.5	0.5	1.0	0.02	5000	500.0	42.19901471793168	10	1.0926158118902936	24966
20	20000	0.01	0	1	4	1.0	0.602	0.1	0.2	0.101	0.5	0.5	1.0	0.02	2500	250.0	27.83579185360121	10	1.122129553697424	22501
20	20000	0.01	0	2	4	1.0	0.602	0.1	0.2	0.101	0.5	0.5	1.0	0.02	1250	125.0	18.38328279676258	10	1.0138192479834347	19823
20	20000	0.01	0	1	16	1.0	0.602	0.1	0.2	0.101	0.5	0.5	1.0	0.02	625	62.5	12.169417269950083	10	0.8923979717428631	20560
20	20000	0.01	0	2	16	1.0	0.602	0.1	0.2	0.101	0.5	0.5	1.0	0.02	312	31.200000000000003	8.085916174625053	10	0.9575028066416355	19826
20	20000	0.01	0	1	64	1.0	0.602	0.1	0.2	0.101	0.5	0.5	1.0	0.02	156	15.600000000000001	5.426315847816074	10	0.9218067177519483	19996
20	20000	0.01	0	2	64	1.0	0.602	0.1	0.2	0.101	0.5	0.5	1.0	0.02	78	7.800000000000001	3.703211945055782	10	0.9559343972778352	18505
20	20000	0.01	0	1	1	0.01	1.0	0.1	0.2	0.101	0.5	0.5	1.0	0.02	10000	1000.0	10.01	10	0.9395280349871615	29998
20	20000	0.01	0	2	1	0.01	1.0	0.1	0.2	0.101	0.5	0.5	1.0	0.02	5000	500.0	5.01	10	0.9219832213747314	25001
20	20000	0.01	0	1	4	0.01	1.0	0.1	0.2	0.101	0.5	0.5	1.0	0.02	2500	250.0	2.5100000000000002	10	0.9876708310623434	22501
20	20000	0.01	0	2	4	0.01	1.0	0.1	0.2	0.101	0.5	0.5	1.0	0.02	1250	125.0	1.26	10	0.9533585358941772	21251
20	20000	0.01	0	1	16	0.01	1.0	0.1	0.2	0.101	0.5	0.5	1.0	0.02	625	62.5	0.635	10	0.9815190916657897	20626
20	20000	0.01	0	2	16	0.01	1.0	0.1	0.2	0.101	0.5	0.5	1.0	0.02	312	31.200000000000003	0.322	10	0.9858200141351827	20281
20	20000	0.01	0	1	64	0.01	1.0	0.1	0.2	0.101	0.5	0.5	1.0	0.02	156	15.600000000000001	0.166	10	1.0044700729743463	20125
20	20000	0.01	0	2	64	0.01	1.0	0.1	0.2	0.101	0.5	0.5	1.0	0.02	78	7.800000000000001	0.08800000000000001	10	0.9676917562076879	19276
20	20000	0.01	0	1	1	0.1	1.0	0.1	0.2	0.101	0.5	0.5	1.0	0.02	10000	1000.0	100.10000000000001	10	0.8024579370585859	30001
20	20000	0.01	0	2	1	0.1	1.0	0.1	0.2	0.101	0.5	0.5	1.0	0.02	5000	500.0	50.1	10	0.8526647874028115	25001
20	20000	0.01	0	1	4	0.1	1.0	0.1	0.2	0.101	0.5	0.5	1.0	0.02	2500	250.0	25.1	10	0.9014698059004694	22501
20	20000	0.01	0	2	4	0.1	1.0	0.1	0.2	0.101	0.5	0.5	1.0	0.02	1250	125.0	12.600000000000001	10	0.8852079730750125	21251
20	20000	0.01	0	1	16	0.1	1.0	0.1	0.2	0.101	0.5	0.5	1.0	0.02	625	62.5	6.3500000000000005	10	0.9397534965792618	20527
20	20000	0.01	0	2	16	0.1	1.0	0.1	0.2	0.101	0.5	0.5	1.0	0.02	312	31.200000000000003	3.2200000000000006	10	0.9236251045484214	20281
